Cod,Player,Hand,Height
105946,Liang Chi Huang,1,0
105490,Jui Chen Hung,1,0
106410,Jorge Brian Panta Herreros,2,0
105273,Mauricio Echazu,1,0
105899,Martin Cuevas,1,0
122669,Juan Pablo Varillas,1,0
105464,Christopher Rungkat,1,0
122533,Nam Hoang Ly,1,0
106392,Thien Nguyen Hoang,1,0
103813,Jarkko Nieminen,0,185
105349,Harri Heliovaara,1,0
105626,Takanyi Garanganga,1,0
128034,Hubert Hurkacz,1,0
106065,Marco Cecchinato,1,0
126207,Frances Tiafoe,1,0
106075,Jozef Kovalik,1,0
104022,Mikhail Youzhny,1,183
106216,Bjorn Fratangelo,1,0
104797,Denis Istomin,1,188
104547,Horacio Zeballos,0,188
105041,Lukas Lacko,1,185
126205,Tommy Paul,1,0
104216,Maximo Gonzalez,1,175
105254,Nikola Mektic,1,0
111575,Karen Khachanov,1,0
105430,Radu Albot,1,0
104297,Rogerio Dutra Silva,1,178
103333,Ivo Karlovic,1,208
104997,Igor Sijsling,1,190
104252,Florian Mayer,1,190
104327,Steve Darcis,1,178
104122,Carlos Berlocq,1,183
106361,Adam Pavlasek,1,0
106288,Mathias Bourgue,1,0
111578,Stefan Kozlov,1,0
106421,Daniil Medvedev,1,0
105216,Yuichi Sugita,1,173
104386,Janko Tipsarevic,1,180
105554,Daniel Evans,1,175
124014,Ernesto Escobedo,1,0
104433,Frank Dancevic,1,185
105650,Marcus Willis,0,0
103898,Julien Benneteau,1,185
106261,Dennis Novikov,1,0
104229,Yen Hsun Lu,1,180
144797,Carl Soderlund,1,0
105063,Andrea Arnaboldi,0,0
123921,Calvin Hemery,1,0
144923,Louis Wessels,1,0
104813,Grega Zemlja,1,183
106044,Nicolas Kicker,1,0
103843,Marco Chiudinelli,1,185
104548,Brian Baker,1,190
104736,Farrukh Dustov,1,196
105031,Saketh Myneni,1,0
103523,Rohan Bopanna,1,190
105790,Yong Kyu Lim,2,0
104235,Matwe Middelkoop,1,0
103781,Jurgen Melzer,0,183
111453,Mikael Torpegaard,1,0
106138,Yaraslau Shyla,1,0
105827,Laurynas Grigelis,1,183
108748,Lukas Mugevicius,1,0
126190,Nicolas Alvarez,1,0
104251,Ti Chen,1,183
105579,Kittipong Wachiramanowong,1,183
106137,Tristan Lamasine,1,0
111200,Elias Ymer,1,0
103902,Jan Mertl,1,190
105932,Nikoloz Basilashvili,1,185
105589,Gerald Melzer,0,0
105677,Nikola Cacic,1,0
111577,Jared Donaldson,1,0
105731,Steven Diez,1,0
133430,Denis Shapovalov,0,0
105166,Peter Polansky,1,180
124187,Reilly Opelka,1,0
105596,Jan Satral,1,0
105561,Alessandro Giannessi,0,183
105493,Tomislav Brkic,1,0
123983,Nerman Fatic,2,0
134120,Kuan Yi Lee,2,0
105738,Tsung Hua Yang,1,0
106167,Joris De Loore,1,0
104043,Marc Lopez,1,175
111794,Kamil Majchrzak,1,0
134472,Antoine Bellier,2,0
105376,Peter Gojowczyk,1,185
105098,Alexandre Sidorenko,1,0
106225,Andrew Whittington,1,0
122330,Alexander Bublik,1,0
105132,Jurgen Zopp,1,190
144707,Mikael Ymer,1,0
106026,Yuki Bhambri,1,183
105963,Arthur De Greef,1,0
105454,Brydan Klein,1,183
200282,Alex De Minaur,1,0
111797,Nicolas Jarry,1,0
144642,Marcelo Tomas Barrios Vera,2,0
106393,Frederico Ferreira Silva,0,0
105155,Pedro Sousa,1,180
105933,Roberto Quiroz,0,0
105271,Gonzalo Escobar,0,0
105467,Jordi Munoz Abreu,2,0
137018,Ayed Zatar,1,0
105985,Darian King,1,0
200621,Bruno Britez,0,0
105156,Federico Zeballos,2,0
123965,Rodrigo Banzer,1,0
105707,Nicolaas Scholtz,1,0
104901,Vladimir Ivanov,1,0
106106,George Tsivadze,2,0
105812,David Agung Susanto,2,0
202165,Alberto Lim,1,0
127143,Jirat Navasirisomboon,1,0
103600,Mohammad Ghareeb,1,0
106397,Wishaya Trongcharoenchaikul,1,0
105182,Antso Rakotondramanga,2,0
200272,Jean Jacques Rakotohasy,0,0
105149,Reda El Amrani,1,185
126526,Soren Hess Olesen,2,0
105688,Manuel Sanchez,1,0
104882,Blaz Kavcic,1,188
103531,Thomas Oger,2,0
202382,Simen Sunde Bratholm,1,0
103499,Aqeel Khan,1,0
103529,Aisam Ul Haq Qureshi,1,183
106085,Hamid Reza Nadaf,1,0
105566,Shahin Khaledan,1,0
105113,Patrik Rosenholm,1,0
106035,Isak Arvidsson,1,0
123795,Altug Celikbilek,2,0
138846,Hong Kit Jack Wong,2,0
104816,Karan Rastogi,1,178
106034,Yasutaka Uchiyama,1,0
104117,Giovanni Lapentti,1,193
105051,Matthew Ebden,1,188
105943,Federico Gaio,1,0
105649,Cedrik Marcel Stebe,0,183
105668,Jerzy Janowicz,1,203
105819,Guido Andreozzi,1,0
104810,Zhe Li,1,0
200059,Yibing Wu,1,0
111190,Zhizhen Zhang,2,0
105613,Norbert Gombos,1,0
122078,Dmitry Popko,1,0
105432,Prajnesh Gunneswaran,0,0
106381,Temur Ismailov,1,0
200416,August Holmgren,1,0
105872,Christian Lindell,1,0
103163,Tommy Haas,1,188
111513,Laslo Djere,1,0
106420,Gianluigi Quinzi,0,0
144760,Amine Ahouda,2,0
106249,Joao Domingues,1,0
105870,Yannick Hanfmann,2,0
126127,Benjamin Bonzi,2,0
109303,Stefano Napolitano,1,0
106423,Thanasi Kokkinakis,1,0
105633,Mohamed Safwat,1,183
127157,Daniel Altmaier,2,0
111815,Cameron Norrie,0,0
124116,Sebastian Ofner,1,0
117361,Akira Santillan,1,0
104629,Adrian Menendez Maceiras,1,0
105226,Attila Balazs,1,180
111153,Christopher Eubanks,1,0
105163,Gleb Sakharov,1,0
105181,Miljan Zekic,2,0
105960,Evan King,0,185
105815,Tennys Sandgren,1,0
106283,Mitchell Krueger,1,0
105882,Stefano Travaglia,2,0
104656,Haydn Lewis,0,0
105436,Markus Eriksson,1,0
105634,Viktor Galovic,1,0
104424,Go Soeda,1,178
120424,Yannick Maden,2,0
106281,Liam Broady,0,0
126774,Stefanos Tsitsipas,1,0
111581,Michael Mmoh,1,0
126610,Matteo Berrettini,1,0
106120,Ricardo Ojeda Lara,2,0
111456,Mackenzie McDonald,1,0
109739,Maximilian Marterer,0,0
132283,Lorenzo Sonego,1,0
104907,Jose Rubin Statham,1,183
123755,Daniel Elahi Galan,2,0
105292,Alejandro Gonzalez,1,0
105578,Cristian Rodriguez,1,0
105497,Jose Hernandez,2,0
106252,Joao Pedro Sorgi,1,0
120792,M Abid Ali Khan Akbar,2,0
200436,Zsombor Piros,2,0
144817,Marc Andrea Huesler,2,0
106353,Pedja Krstin,1,0
105935,Duilio Beretta,1,0
126502,Luis Diego Chavez Villalpando,2,0
105747,Karim Mohamed Maamoun,1,0
126174,Youssef Hossam,2,0
127570,Rodrigo Arus,2,0
104467,Lamine Ouahab,1,185
138845,Anthony Jackie Tang,2,0
134217,Skyler Butts,2,0
126530,Peter Bothwell,1,0
133975,Benjamin Hassan,2,0
200273,Hady Habib,0,0
202358,Chun Hsin Tseng,1,0
200460,John Bryan Decasa Otico,2,0
106250,Luis Patino,1,0
111167,Ugo Nastasi,1,0
126613,Bogdan Borza,0,0
200325,Emil Ruusuvuori,1,0
111761,Benjamin Lock,1,0
124126,Sarp Agabigun,1,0
126535,Carlos Taberner,1,0
144895,Corentin Moutet,0,0
134868,Tallon Griekspoor,1,0
106105,Guilherme Clezar,1,0
200000,Felix Auger Aliassime,1,0
200095,Nicola Kuhn,1,0
200075,Yshai Oliel,0,0
126939,Khumoun Sultanov,2,0
208029,Holger Rune,2,0
126204,Gerardo Lopez Villasenor,2,0
207415,Daniel Michalski,2,0
106021,Dragos Dima,1,0
202210,Edris Fetisleam,2,0
207139,Palaphoom Kovapitukted,2,0
208028,Francisco Llanes,2,0
106072,Alexey Vatutin,2,0
144719,Jaume Munar,1,0
104897,Matthias Bachinger,1,188
126523,Bernabe Zapata Miralles,1,0
105948,Federico Coria,1,0
106110,Filip Horansky,1,0
106109,Alex Bolt,0,0
200484,Rudolf Molleker,1,0
126652,Jay Clarke,1,0
105614,Bradley Klahn,0,190
105359,Jason Jung,1,0
106328,Christian Harrison,1,0
106177,Oriol Roca Batalla,1,0
109054,Daniel Masur,1,0
106218,Marcos Giron,1,0
136440,Dominik Koepfer,0,0
106186,Jason Kubler,1,0
200005,Ugo Humbert,0,0
127300,Jurabek Karimov,2,0
133297,Yosuke Watanuki,2,0
111197,Jonathan Mridha,1,0
106005,Constant Lestienne,1,0
106099,Salvatore Caruso,1,0
106214,Oscar Otte,1,0
200615,Alexei Popyrin,1,0
200175,Miomir Kecmanovic,1,0
106228,Juan Ignacio Londero,1,0
106398,Pedro Cachin,1,0
126156,Antoine Hoang,1,0
111790,Brayden Schnur,1,0
106296,Gregoire Barrere,1,183
106198,Hugo Dellien,1,0
205734,Thiago Seyboth Wild,1,0
206173,Jannik Sinner,2,0
200221,Alejandro Davidovich Fokina,1,0
200611,Elliot Benchetrit,2,0
105906,Kevin Krawietz,1,190
126120,Nino Serdarusic,2,0
126952,Soon Woo Kwon,1,0
110536,Kevin King,2,0
126237,Gian Marco Moroni,2,0
117360,Marc Polmans,2,0
117353,Duck Hee Lee,1,0
202385,Jenson Brooksby,2,0
110748,Nikola Milojevic,2,0
200553,Alen Avidzba,1,0
126149,Gianluca Mager,1,0
201995,Cayetano March,2,0
106227,Ji Sung Nam,1,0
122109,Sanjar Fayziev,2,0
207797,Jonas Forejtek,1,0
105757,Sandro Ehrat,1,180
208055,Ajeet Rai,1,0
144650,Rhett Purcell,1,0
209188,Ari Fahresi,2,0
126555,Tung Lin Wu,1,0
106223,Aleksandre Metreveli,1,0
202262,Filip Cristian Jianu,2,0
106220,Dimitar Kuzmanov,1,0
202475,Philip Henning,1,0
106293,Kimmer Coppejans,1,0
117352,Oliver Anderson,2,0
106093,Benjamin Mitchell,1,0
104500,Somdev Devvarman,1,180
104628,Alexander Kudryavtsev,1,183
106234,Aslan Karatsev,1,0
122570,Mubarak Shannan Zayid,2,0
110686,Finn Tearney,1,0
105030,Michael Venus,1,0
106032,Facundo Arguello,1,0
105137,Pere Riba,1,183
105586,Alexandar Lazov,2,0
104095,David Guez,1,185
105853,Tigre Hank,2,0
200618,Adam Hornby,0,0
108786,Seanon Williams,1,0
144773,Jose Olivares,0,0
136704,Manuel Castellanos,1,0
121896,Gabor Borsos,2,0
108982,Yasir Khan,1,0
108782,Mahammad Abid,2,0
105630,Tomislav Ternar,2,0
125803,Daniel Windahl,1,0
108705,Anis Ghorbel,1,0
123773,Giorgi Javakhishvili,1,0
134854,Irakli Metreveli,2,0
106033,Romain Arneodo,1,0
144854,Rudolfs Mednis,2,0
122082,Francisco Yim Kim,1,0
200622,Hernando Jose Escurra Isnardi,0,0
200525,Abdulrahman Alawadhi,1,0
121366,Abdulhamid Mubarak,2,0
108985,Ali Ghareeb,2,0
108763,Alberto Emmanuel Alvarado Larin,2,0
200274,Alex Diaz,0,0
144771,Sebastian Quiros,0,0
200270,Alex Knaff,0,0
134507,Tom Diederich,0,0
200080,Puriwat Chatpatcharoen,2,0
111186,Syed Mohd Agil Syed Naguib,1,0
144896,Hao Sheng Koay,2,0
124063,Santiago Maresca,2,0
123969,Minhtuan Pham,1,0
105177,Aditya Hari Sasongko,2,0
144747,Courtney John Lock,1,0
144814,Eero Vasa,2,0
104308,Michal Przysiezny,1,185
105229,Philip Bester,1,188
104873,Aleksandr Nedovyesov,1,0
104847,Adrien Bossel,0,0
105841,Lorenzo Giustino,1,0
105426,Michael Linzer,1,0
105060,Aldin Setkic,1,193
103835,Filippo Volandri,1,183
105751,Roberto Ortega Olmedo,2,0
104676,Andreas Beck,0,190
105515,Jordi Samper Montana,2,0
123828,Jan Choinski,1,0
104802,Fabrice Martin,1,0
104868,James Ward,1,190
105528,Alexander Ward,2,0
103401,Jan Hernych,1,190
106291,Luke Saville,1,0
105874,Albano Olivetti,1,203
110596,Fred Simonsson,1,0
202359,Marvin Moeller,2,0
104864,Alex Kuznetsov,1,183
104495,Florin Mergea,1,180
106184,Hong Chung,0,0
104763,Rafael Arevalo,1,0
111781,Janis Podzus,0,0
126689,Tadas Babelis,2,0
202316,Dac Tien Nguyen,0,0
106006,Agustin Velotti,1,0
126627,Johan Nikles,1,0
105161,Yann Marti,1,173
105782,Enrique Lopez Perez,1,0
104007,Andre Ghem,1,193
106269,Austin Smith,2,0
103857,Igor Kunitsyn,1,180
104945,James Mcgee,1,0
126646,Tim Van Rijthoven,1,0
126143,Andreas Bjerrehus,2,0
202219,Tomas Vaise,2,0
111576,Sumit Nagal,1,0
105085,Artem Smirnov,2,0
122471,Danylo Kalenichenko,2,0
105775,Marin Draganja,1,0
105655,Hiroki Moriya,1,0
105551,Anil Yuksel,0,0
104677,Artem Sitak,1,0
106331,Christopher O'Connell,2,0
106425,Blake Mott,2,0
106232,Roberto Cid,1,0
200572,Nick Hardt,2,0
131951,Daniel Cukierman,2,0
122635,Alexander Merino,0,0
132040,Philip Wilbert Major,0,0
106180,Spencer Newman,1,0
132028,Justin Lunn,2,0
144940,Mattias Siimar,2,0
126609,Patrik Niklas Salminen,2,0
200045,Anthony Susanto,2,0
104895,Abdullah Maqdas,2,0
145003,Lucas Andriamasilalao,1,0
105250,Mehdi Jdi,1,0
105798,Tilen Zitnik,2,0
123915,Arturs Lazdins,1,0
103875,Anoosha Shahgholi,2,0
144826,Aziz Dougaz,2,0
117365,Petros Chrysochos,1,0
144949,Menelaos Efstathiou,2,0
123315,Nicholas Campbell,2,0
124023,Hei Yin Andrew Li,1,0
102800,Nenad Zimonjic,1,190
106311,Marko Tepavac,1,0
105448,Hsien Yin Peng,2,0
103914,Omar Awadhy,1,0
126197,Orlando Luz,1,0
105679,Eduardo Struvay,1,0
200125,Mykyta Mashtakov,2,0
207277,Illia Biloborodko,0,0
122047,Luciano Ramazzini,1,0
105703,Jesus Bandres,2,0
104591,Patrick Tierro,2,0
105450,Mike Urbanija,1,0
105821,Riccardo Bellotti,1,0
105406,Roberto Marcora,1,0
106362,Laurent Lokoli,1,0
111506,Maxime Hamou,1,0
124186,Alexandre Muller,2,0
104890,Andreas Haider Maurer,1,190
111515,Thai Son Kwiatkowski,2,0
106335,Alexios Halebian,0,0
105871,Sekou Bangoura,1,0
105692,Alessandro Bega,1,0
105559,Jonathan Eysseric,0,180
144972,Geoffrey Blancaneaux,1,0
106324,Vaclav Safranek,1,0
200516,Patrick Kypson,2,0
111574,Jc Aragone,1,0
207759,Matthew Foster Estwick,0,0
108772,Julius Tverijonas,1,0
105299,Dzmitry Zhyrmont,2,0
126185,Evgenii Tiurnev,2,0
106207,Mate Pavic,0,0
126208,Yusuke Takahashi,2,0
126128,Roman Safiullin,2,0
106325,Jabor Al Mutawa,2,0
111459,Arjun Kadhe,1,0
132482,Liam Caruana,2,0
126846,Aleksandar Vukic,1,0
207971,Xavier Lawrence,0,0
207972,Minjong Park,0,0
106333,Julien Cagnina,1,0
106391,Adrian Bodmer,2,0
122236,Roman Hassanov,1,0
105479,Alejandro Mendoza,1,0
200483,Peter August Anker,2,0
206768,Rafael Eduardo Gonzalez Retana,1,0
144807,Kenneth Raisma,0,0
207973,Ainius Sabaliauskas,0,0
105606,Mohsen Hossein Zade,2,0
200401,Amir Hossein Badi,2,0
200278,Simon Carr,1,0
106396,Cheng Yu Yu,2,0
206000,Michel Saade,2,0
134114,Jad Ballout,2,0
207176,Muhammad Althaf Dhaifullah,1,0
126102,Nicolae Frunza,1,0
144776,Christophe Tholl,0,0
105587,Tom Kocevar Desman,1,0
202462,Yasitha De Silva,0,0
207421,Alex Fairbanks,2,0
121411,Moez Chargui,1,0
200250,Mehluli Don Ayanda Sibanda,1,0
202090,Adrian Andreev,2,0
200574,Alexander Donski,2,0
200624,Sebastian Korda,2,0
200384,Hugo Gaston,2,0
207836,Muzammil Murtaza,1,0
109698,Christoffer Konigsfeldt,1,0
124022,Chun Hun Wong,1,0
207400,Mark Chigaazira,1,0
207479,Soufiane El Mesbahi,1,0
206642,Yassir Kilani,1,0
105961,David Souto,0,0
207738,Brandon Perez,2,0
124079,Pedro Martinez,1,0
111795,Filippo Baldi,1,0
126125,Maxime Janvier,2,0
126845,Max Purcell,2,0
104970,Matteo Viola,1,0
144645,Zdenek Kolar,2,0
202130,Emil Reinberg,1,0
200514,Jurij Rodionov,2,0
127339,Borna Gojo,2,0
123768,Collin Altamirano,1,0
200711,Nicolas Mejia,1,0
105691,Scott Griekspoor,1,0
200218,Mate Valkusz,1,0
138431,Darko Bojanovic,2,0
105502,N Sriram Balaji,1,0
111192,Lucas Miedler,1,0
106348,Evgeny Karlovskiy,1,0
202103,Francisco Cerundolo,2,0
200368,Jack Mingjie Lin,2,0
207182,Emilio Nava,2,0
106203,Pedro Sakamoto,2,0
109640,Andrea Basso,0,0
121531,Mats Moraing,0,0
144985,Ergi Kirkin,1,0
206703,Paul Jubb,1,0
202400,Alastair Gray,1,0
105091,Peter Torebko,1,0
109699,Julian Lenz,1,0
106031,Raymond Sarmiento,1,0
208260,Zachary Svajda,2,0
144946,Rayane Roumane,2,0
105339,Yan Bai,1,0
208230,Alibek Kachmazov,2,0
144984,Artem Dubrivnyy,2,0
122298,Botic van de Zandschulp,2,0
110778,Joao Menezes,1,0
200526,Juan Lugo,2,0
209238,Sebastian Dominguez,0,0
132932,Franz Luna Lavidalie,1,0
134677,Juan Borba,1,0
209226,Adolfo Daniel Vallejo,2,0
208476,Kyle Johnson,2,0
207134,Fitriadi M Rifqi,2,0
208937,Kasidit Samrej,2,0
208597,Chak Lam Coleman Wong,2,0
106388,Pak Long Yeung,2,0
207852,Wai Yu Kai,2,0
125842,Adam Moundir,2,0
105434,Ruan Roelofse,1,0
126328,Gabriel Donev,2,0
208103,Jiri Lehecka,1,0
200343,David Szintai,2,0
